"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"9492_61.0079_17.04","PC1",0.000477594175633795,137.761605277542,11.7371889853381,0.13708,0.13708
"9492_61.0079_17.04","PC2",0.00527897670103907,99.2048551788554,9.96016341125262,0.09871,0.23579
"9492_61.0079_17.04","PC3",-0.0384391909934052,81.4278507363094,9.02373817972958,0.08102,0.31681
"9492_61.0079_17.04","PC4",0.0721150531675318,71.3316997312908,8.44580959596478,0.07098,0.38779
"9492_61.0079_17.04","PC5",0.0246503519789315,62.7887293790275,7.92393395852259,0.06248,0.45026
"9492_61.0079_17.04","PC6",-0.0591401950253173,59.3428666063866,7.70343213161423,0.05905,0.50931
"9492_61.0079_17.04","PC7",0.0142899167059033,54.6633922937423,7.39346957075921,0.05439,0.5637
"9492_61.0079_17.04","PC8",0.006972334716478,48.2085770568968,6.9432396658114,0.04797,0.61167
"9492_61.0079_17.04","PC9",-0.0274383525725629,44.9770260701276,6.70649133825786,0.04475,0.65642
"9492_61.0079_17.04","PC10",0.0315660159791941,41.9294712958308,6.47529700444936,0.04172,0.69815
"9492_61.0079_17.04","PC11",0.0138234705320256,40.6997974306636,6.37963928687693,0.0405,0.73864
"9492_61.0079_17.04","PC12",0.0118565476088614,37.1724199589096,6.09691889062907,0.03699,0.77563
"9492_61.0079_17.04","PC13",0.0512077706928032,36.4728013884555,6.0392715941954,0.03629,0.81192
"9492_61.0079_17.04","PC14",-0.00887765460565833,34.4080723148378,5.86583943820812,0.03424,0.84616
"9492_61.0079_17.04","PC15",0.00029531637611579,33.4380558804057,5.78256481852177,0.03327,0.87943
"9492_61.0079_17.04","PC16",-0.0202187158787744,32.9309100423984,5.73854598678083,0.03277,0.9122
"9492_61.0079_17.04","PC17",0.0104820054969694,31.1111998437511,5.57774146440574,0.03096,0.94315
"9492_61.0079_17.04","PC18",0.030636540706818,29.6016296915236,5.44073797306244,0.02945,0.97261
"9492_61.0079_17.04","PC19",0.023377745310615,27.5290398230452,5.24681234875474,0.02739,1
"9492_61.0079_17.04","PC20",-0.0319513209023143,2.18128254330647e-28,1.47691656612906e-14,0,1
"8838_64.0165_16.96","PC1",0.00798186827995077,137.761605277542,11.7371889853381,0.13708,0.13708
"8838_64.0165_16.96","PC2",-0.0062886472352894,99.2048551788554,9.96016341125262,0.09871,0.23579
"8838_64.0165_16.96","PC3",0.0188511093236252,81.4278507363094,9.02373817972958,0.08102,0.31681
"8838_64.0165_16.96","PC4",-0.032084473696189,71.3316997312908,8.44580959596478,0.07098,0.38779
"8838_64.0165_16.96","PC5",0.00684437796408755,62.7887293790275,7.92393395852259,0.06248,0.45026
"8838_64.0165_16.96","PC6",0.049630301021975,59.3428666063866,7.70343213161423,0.05905,0.50931
"8838_64.0165_16.96","PC7",-0.0556415221043827,54.6633922937423,7.39346957075921,0.05439,0.5637
"8838_64.0165_16.96","PC8",0.0373841687067995,48.2085770568968,6.9432396658114,0.04797,0.61167
"8838_64.0165_16.96","PC9",-0.0711256036356785,44.9770260701276,6.70649133825786,0.04475,0.65642
"8838_64.0165_16.96","PC10",0.0273884884085945,41.9294712958308,6.47529700444936,0.04172,0.69815
"8838_64.0165_16.96","PC11",0.00618065643438365,40.6997974306636,6.37963928687693,0.0405,0.73864
"8838_64.0165_16.96","PC12",0.0480634702845248,37.1724199589096,6.09691889062907,0.03699,0.77563
"8838_64.0165_16.96","PC13",-0.0364604414093102,36.4728013884555,6.0392715941954,0.03629,0.81192
"8838_64.0165_16.96","PC14",0.0079727889829293,34.4080723148378,5.86583943820812,0.03424,0.84616
"8838_64.0165_16.96","PC15",-0.0263628193363531,33.4380558804057,5.78256481852177,0.03327,0.87943
"8838_64.0165_16.96","PC16",-0.00954509072008481,32.9309100423984,5.73854598678083,0.03277,0.9122
"8838_64.0165_16.96","PC17",0.0467603155708119,31.1111998437511,5.57774146440574,0.03096,0.94315
"8838_64.0165_16.96","PC18",-0.0142207277707346,29.6016296915236,5.44073797306244,0.02945,0.97261
"8838_64.0165_16.96","PC19",0.00824934889406205,27.5290398230452,5.24681234875474,0.02739,1
"8838_64.0165_16.96","PC20",-0.129083747049891,2.18128254330647e-28,1.47691656612906e-14,0,1
"8651_64.0165_16.6","PC1",-0.0197745520228314,137.761605277542,11.7371889853381,0.13708,0.13708
"8651_64.0165_16.6","PC2",-0.0118715213481082,99.2048551788554,9.96016341125262,0.09871,0.23579
"8651_64.0165_16.6","PC3",-0.0236390848242035,81.4278507363094,9.02373817972958,0.08102,0.31681
"8651_64.0165_16.6","PC4",0.0106909104862892,71.3316997312908,8.44580959596478,0.07098,0.38779
"8651_64.0165_16.6","PC5",0.00838110004727095,62.7887293790275,7.92393395852259,0.06248,0.45026
"8651_64.0165_16.6","PC6",0.00940641890200683,59.3428666063866,7.70343213161423,0.05905,0.50931
"8651_64.0165_16.6","PC7",-0.00217185666585036,54.6633922937423,7.39346957075921,0.05439,0.5637
"8651_64.0165_16.6","PC8",-0.0307356702130174,48.2085770568968,6.9432396658114,0.04797,0.61167
"8651_64.0165_16.6","PC9",-0.0213948912152257,44.9770260701276,6.70649133825786,0.04475,0.65642
"8651_64.0165_16.6","PC10",0.0166658100215639,41.9294712958308,6.47529700444936,0.04172,0.69815
"8651_64.0165_16.6","PC11",0.0443951318789309,40.6997974306636,6.37963928687693,0.0405,0.73864
