row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,fold_change,log2_fold_change
6238,147.066527350901,16.619448,0.009151688852650072,0,9,0.6465949498739498,1,-0.5,8.911698991673945e-4,0.0019889557783101973,2.2318480237813754,1.15823879114479
2457,377.061924287292,13.559451,0.009151688852650072,45,9,0.6465949498739498,1,0.5,1.8509222329630103e-6,9.23837375733021e-7,0.499122739616194,-1.0025334615665127
3949,200.093479493439,15.726653,0.012851240187496516,1,9,0.6465949498739498,1,-0.4777777777777778,1.168392490661482e-4,0.00028794148717991897,2.4644243221462485,1.3012506792275842
4794,120.0554488254,16.171179,0.01781718875957872,2,9,0.6465949498739498,1,-0.45555555555555555,8.439083259088111e-4,0.0017956862106280034,2.127821417917895,1.089377074572457
6177,196.062158305788,16.667587,0.01781718875957872,2,9,0.6465949498739498,1,-0.45555555555555555,2.875478188243722e-4,4.938874169538999e-4,1.7175835969583735,0.7803803185381263
4658,265.147891747623,16.07208,0.01781718875957872,43,9,0.6465949498739498,1,0.4555555555555556,5.3482853636769e-4,3.3117916959466114e-4,0.6192249423411064,-0.691464510570588
2269,329.2334371241,12.604264,0.01781718875957872,43,9,0.6465949498739498,1,0.4555555555555556,7.133356810507033e-4,5.572057714386321e-4,0.7811270152894909,-0.35637093777590717
6800,122.034727701197,16.859606,0.02439024143305406,3,9,0.6465949498739498,1,-0.43333333333333335,3.24849264317373e-4,5.167475508287244e-4,1.5907302481186154,0.669689207952512
6862,165.019728491147,16.894913,0.02439024143305406,3,9,0.6465949498739498,1,-0.43333333333333335,8.948334143717025e-4,0.0016567049535680266,1.8514115889729754,0.8886256576944358
3898,265.147862300908,15.711845,0.02439024143305406,42,9,0.6465949498739498,1,0.43333333333333335,2.575154081809256e-4,1.2291441887557052e-4,0.47730898800903254,-1.0670045914451394
4133,109.03938577152,15.837658,0.03296938124422011,41,9,0.6465949498739498,1,0.4111111111111111,0.001179316775730389,5.424847513055515e-4,0.45999918127983314,-1.1202968014667896
4188,110.034644210881,15.957519,0.03296938124422011,41,9,0.6465949498739498,1,0.4111111111111111,0.0018491420282155955,0.0010950339790611755,0.5921848956717904,-0.7558804014291439
6988,112.984331756441,16.957169,0.03296938124422011,41,9,0.6465949498739498,1,0.4111111111111111,0.005851512116230513,0.004576514001198065,0.7821079253179793,-0.35456039198700223
6971,116.024098856242,16.918753,0.03296938124422011,4,9,0.6465949498739498,1,-0.4111111111111111,1.4331113650896716e-4,2.557264101487667e-4,1.7844140823819756,0.8354504388453269
3966,161.045960855144,15.7255945,0.03296938124422011,4,9,0.6465949498739498,1,-0.4111111111111111,6.971321729672148e-5,1.792300572356836e-4,2.5709623538506885,1.3623084851966338
6845,237.089107188511,16.884235,0.03296938124422011,4,9,0.6465949498739498,1,-0.4111111111111111,1.1074180956125423e-4,2.901291368895457e-4,2.61986993023685,1.3894951874648698
3086,265.147888846183,15.107723,0.03296938124422011,41,9,0.6465949498739498,1,0.4111111111111111,3.532276293622867e-4,1.7433734825275692e-4,0.4935552424579687,-1.0187165237623517
3438,356.129591246231,15.441361,0.03296938124422011,41,9,0.6465949498739498,1,0.4111111111111111,8.462942865972786e-5,1.667807209510418e-5,0.1970717793944021,-2.343206897109227
2942,621.320422337432,14.929166,0.03296938124422011,4,9,0.6465949498739498,1,-0.4111111111111111,2.7499318149081177e-6,9.574652307231825e-6,3.4817780773054325,1.799824250957382
6267,83.0236220138386,16.636652,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,0.00657890093588465,0.004477312079355783,0.6805562392548368,-0.5552137079684751
2904,106.039694584803,14.862858,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,0.001829768814796398,0.005177715428127688,2.8297101722677587,1.500654295302907
2631,106.039695845106,14.173291,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,1.6734112968544763e-4,3.508702835697354e-4,2.0967366733406716,1.0681456864606635
3978,107.034980577743,15.738287,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,0.0043187036532395294,0.006876450721495212,1.5922488027945783,0.6710657872083003
3731,110.034648575623,15.630476,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,6.183593602593699e-4,0.00152282947797314,2.462693339572626,1.3002369912058938
4689,135.969840764193,16.078974,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,0.0010728734437224934,7.808337187268344e-4,0.7277966691184155,-0.45839264642465605
6373,159.066629976589,16.640633,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,0.001134897488493669,0.00229638596551278,2.0234302999125813,1.0168031540716564
6172,163.061572647912,16.658892,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,5.175953683525488e-4,0.0010640043108728478,2.05566814529168,1.039607383313701
6368,171.066700612044,16.691572,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,0.0010555144786589556,0.0017558576179064365,1.6635087944385905,0.7342294933078869
5075,182.046393620231,16.173647,0.044010984012951455,5,9,0.6465949498739498,1,-0.3888888888888889,1.5101131270496283e-4,3.400139853134107e-4,2.2515795619743426,1.1709374577542864
7081,264.072523973459,16.988997,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,1.5792543500957223e-4,1.227733102220558e-4,0.7774131520651769,-0.3632465798797849
3897,309.174107049747,15.71132,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,1.696295500470137e-4,7.376411217205797e-5,0.4348541403995581,-1.2013965242934628
4423,398.233544377516,15.932391,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,9.013605585803831e-5,5.966379678844426e-5,0.6619304141997628,-0.5952485339962106
2263,415.233914629914,12.567797,0.044010984012951455,40,9,0.6465949498739498,1,0.38888888888888884,2.4219421321230888e-4,1.975837355390811e-4,0.8158070042981499,-0.2937002011145802
5545,83.0236227411721,16.438583,0.05802401994622144,6,9,0.6465949498739498,1,-0.3666666666666667,0.003897376704375555,0.006367554983957233,1.63380536882884,0.7082361290467041
3123,110.034658847682,15.180128,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,3.1270858621510367e-4,1.230395387506829e-4,0.3934638963384503,-1.3456968326313372
3044,130.039872940493,15.151573,0.05802401994622144,6,9,0.6465949498739498,1,-0.3666666666666667,2.63091878534474e-4,5.8134228582383e-4,2.2096550036517164,1.1438211373207954
6031,130.039874634974,16.691254,0.05802401994622144,6,9,0.6465949498739498,1,-0.3666666666666667,0.0038689031465811105,0.006580589295985147,1.700892745738624,0.7662921709427937
2254,209.154170746935,12.538137,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,1.7660923699706224e-4,1.4855383838841002e-4,0.8411442171106889,-0.24957491810139712
2251,253.14446552315,12.53767,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,3.8305041232467995e-4,3.235477790317133e-4,0.84466109060723,-0.24355550021226413
6932,297.152861830757,16.916264,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,7.565579535318389e-4,4.633533721927711e-4,0.612449277718513,-0.7073377280196399
7391,336.858824795096,17.394886,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,0.0013755344352769446,0.0010024577351535945,0.7287769098646837,-0.4564508445171955
4818,499.363883626206,16.085169,0.05802401994622144,39,9,0.6465949498739498,1,0.3666666666666667,3.332844134755985e-5,2.286922102514258e-5,0.6861773338469354,-0.5433466240292526
4635,128.03410707055,16.046707,0.07556056752594133,38,9,0.6465949498739498,1,0.34444444444444444,3.0656042070353775e-4,2.2742614088984002e-4,0.7418640030826898,-0.43077335556251384
4777,135.066445989628,16.08089,0.07556056752594133,7,9,0.6465949498739498,1,-0.34444444444444444,4.314833995959792e-4,9.680853328713255e-4,2.2436212697355105,1.1658291650785335
4100,163.061574237935,15.733917,0.07556056752594133,7,9,0.6465949498739498,1,-0.34444444444444444,7.950007041417911e-4,0.00165748161519163,2.0848806882264252,1.0599648247110751
