row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,fold_change,log2_fold_change,significance
6114,97.1015546962617,15.001301,0.0059215370241487075,0,10,0.8341300572569939,1,-0.5,1.2575057153067302e-4,1.4267280257763298e-4,1.1345698142042424,0.18214538601098026,Not Significant
7220,136.021481243079,15.472147,0.0059215370241487075,0,10,0.8341300572569939,1,-0.5,8.33188302692537e-4,0.001131853364501611,1.3584604594710534,0.4419725738372402,Not Significant
9264,115.557189829744,17.026964,0.00804523748656169,1,10,0.8341300572569939,1,-0.4818181818181818,7.145769750041119e-5,8.072736453009696e-5,1.1297224421432335,0.17596836509194055,Not Significant
1827,132.065541854964,0.6468944,0.00804523748656169,1,10,0.8341300572569939,1,-0.4818181818181818,2.97441144113763e-4,4.2750695633138097e-4,1.437282517202366,0.5233436707764073,Not Significant
9497,102.037651540422,17.037348,0.010826921277131309,53,10,0.8341300572569939,1,0.4636363636363636,2.8667787335068603e-4,2.2017019655193098e-4,0.7680055456620545,-0.3808113664015319,Not Significant
7694,105.042611830502,15.7495985,0.010826921277131309,53,10,0.8341300572569939,1,0.4636363636363636,0.002509421721771288,0.0013974953751176619,0.5568993696807696,-0.8445114351469295,Not Significant
988,110.057899186978,0.58809566,0.01443282393884179,3,10,0.8341300572569939,1,-0.44545454545454544,2.87166007777396e-4,3.4603322277665697e-4,1.204993674059408,0.269025572656833,Not Significant
6105,118.065275615881,14.895881,0.01443282393884179,3,10,0.8341300572569939,1,-0.44545454545454544,2.61255384074117e-4,2.93771401733361e-4,1.1244606604931033,0.1692331889909713,Not Significant
6120,232.169281014467,15.001517,0.01443282393884179,3,10,0.8341300572569939,1,-0.44545454545454544,9.515163713949969e-5,1.0453867210220757e-4,1.0986534256782756,0.1357363545213943,Not Significant
9027,89.0690223238379,16.963125,0.01905889160173045,4,10,0.8341300572569939,1,-0.42727272727272725,6.36013380896076e-4,6.84711373263939e-4,1.076567559473753,0.1064388579718581,Not Significant
5144,112.018154007715,14.119791,0.01905889160173045,4,10,0.8341300572569939,1,-0.42727272727272725,0.001530681692698644,0.002353301771365886,1.53742073390643,0.6205120301279438,Not Significant
8300,471.104470850423,16.316969,0.01905889160173045,4,10,0.8341300572569939,1,-0.42727272727272725,1.87681050861511e-4,2.34138375949539e-4,1.2475333810993452,0.3190784192516507,Not Significant
5757,570.420496508489,14.803999,0.01905889160173045,4,10,0.8341300572569939,1,-0.42727272727272725,1.533522716482628e-5,2.167262782020228e-5,1.4132576966262234,0.4990245539572414,Not Significant
7672,74.060697159339,15.718519,0.024932455602863113,50,10,0.8341300572569939,1,0.40909090909090906,7.267484748760111e-4,4.948994162693109e-4,0.680977578045478,-0.5543207982287794,Not Significant
9208,190.489170416948,17.021244,0.024932455602863113,50,10,0.8341300572569939,1,0.40909090909090906,5.0002666370499504e-5,2.934094108690822e-5,0.5867875298789815,-0.7690898829982729,Not Significant
7843,305.156554729834,15.830063,0.024932455602863113,50,10,0.8341300572569939,1,0.40909090909090906,1.8559516266870125e-4,9.459736636761805e-5,0.5096973703807148,-0.9722871847448936,Not Significant
8765,413.265523903809,16.749165,0.024932455602863113,50,10,0.8341300572569939,1,0.40909090909090906,5.445952938056437e-5,4.3281886756725044e-5,0.7947532277458786,-0.3314211242683497,Not Significant
5778,526.394326126661,14.822635,0.024932455602863113,5,10,0.8341300572569939,1,-0.40909090909090906,1.731823047339439e-5,2.3537687236851284e-5,1.3591277280327057,0.4426810439936894,Not Significant
5751,614.446626394337,14.787305,0.024932455602863113,5,10,0.8341300572569939,1,-0.40909090909090906,8.028003967581717e-6,1.2123220293590997e-5,1.5101163804286066,0.5946597382902177,Not Significant
8455,623.45172620059,16.474884,0.024932455602863113,50,10,0.8341300572569939,1,0.40909090909090906,3.488297176330676e-5,2.028821315210502e-5,0.5816079343746193,-0.7818811440534528,Not Significant
8009,64.0165158549608,16.09447,0.032312911243244105,6,10,0.8341300572569939,1,-0.39090909090909093,6.516430566504939e-4,0.001033296916070095,1.5856793155770545,0.6651010329547663,Not Significant
9520,81.5183761402079,17.0399,0.032312911243244105,49,10,0.8341300572569939,1,0.3909090909090909,5.130793861384427e-5,3.690824957420999e-5,0.7193477378226056,-0.4752387465386385,Not Significant
7656,170.117393085239,15.6865635,0.032312911243244105,49,10,0.8341300572569939,1,0.3909090909090909,2.314965600261118e-4,1.1113019522169141e-4,0.48005117315417734,-1.0587398904688834,Not Significant
8776,397.328241327069,16.76302,0.032312911243244105,49,10,0.8341300572569939,1,0.3909090909090909,3.527671687777475e-5,2.8433292233868252e-5,0.806007325805933,-0.3111351434097282,Not Significant
6970,399.307482562385,15.588492,0.032312911243244105,6,10,0.8341300572569939,1,-0.39090909090909093,1.8133639503461357e-4,2.4177023360361598e-4,1.33326921800484,0.41496812346096373,Not Significant
5127,605.141403644577,14.093921,0.032312911243244105,6,10,0.8341300572569939,1,-0.39090909090909093,8.17803877088567e-5,9.147091960715604e-5,1.1184945702727436,0.1615582528569335,Not Significant
9260,103.05055957956,17.02686,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,1.8311340225662798e-4,2.0799713928601203e-4,1.1358924946111275,0.18382629890008997,Not Significant
9950,113.963818976999,17.45158,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,0.004266452633525637,0.005899260214996964,1.3827084751019574,0.46749701631597346,Not Significant
8166,123.091773823266,16.198462,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,0.004770926114279617,0.008930122836424172,1.8717797388846316,0.9044106762061298,Not Significant
9291,131.538611304739,17.029192,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,1.3102518794959203e-4,1.7107147746694347e-4,1.3056381001548956,0.38475506268438964,Not Significant
5875,141.127243324485,14.894805,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,6.662976384871184e-5,7.117791446164219e-5,1.0682600440136227,0.09526288161581627,Not Significant
9010,150.112371400432,16.950638,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,5.825663836226e-4,6.551767901419761e-4,1.1246388541471606,0.16946179523973065,Not Significant
9205,160.025134186271,17.020714,0.04149108738773155,7,10,0.8341300572569939,1,-0.37272727272727274,4.26217430805935e-5,5.705482211838122e-5,1.338631834237661,0.4207592288067779,Not Significant
