"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",0.0516677666317739,105.926465741035,10.2920583821233,0.1054,0.1054
"1","PC2",0.0183128471290629,81.2011599233482,9.01116862140246,0.0808,0.1862
"1","PC3",0.0275666786781752,59.9773408492477,7.74450391240444,0.05968,0.24588
"1","PC4",0.019952676743673,57.2394848803913,7.5656780846393,0.05695,0.30283
"1","PC5",-0.079803653938242,40.2423928131009,6.34368921157877,0.04004,0.34287
"1","PC6",-0.0449416334497158,39.1453105998345,6.25662134061464,0.03895,0.38182
"1","PC7",0.0304564826881057,37.789765308337,6.14733806686577,0.0376,0.41942
"1","PC8",-0.00606922320535301,30.993212880743,5.5671548281634,0.03084,0.45026
"1","PC9",0.0103719282826836,29.8541432501971,5.46389451309202,0.02971,0.47997
"1","PC10",-0.0304004675081226,27.946979356227,5.28649026824291,0.02781,0.50778
"1","PC11",-0.0288469513864042,25.6108889817828,5.06072020386257,0.02548,0.53326
"1","PC12",0.0176439345630458,23.217081929178,4.8184107264925,0.0231,0.55636
"1","PC13",0.0198697383730703,22.4719899675895,4.74046305413189,0.02236,0.57872
"1","PC14",-0.0465789602185532,21.6915170744057,4.65741527828534,0.02158,0.60031
"1","PC15",0.0055647467987439,21.27382180937,4.6123553429208,0.02117,0.62147
"1","PC16",-0.0218194001567261,21.1721745072009,4.60132312571078,0.02107,0.64254
"1","PC17",0.0153684374104131,19.7111820010667,4.43972769447256,0.01961,0.66215
"1","PC18",0.0341633176527362,19.2391596206772,4.38624664384907,0.01914,0.6813
"1","PC19",-0.0120958357916889,18.3888774505704,4.28822544306737,0.0183,0.69959
"1","PC20",0.00681186140370431,17.940497435514,4.23562243779046,0.01785,0.71745
"1","PC21",-0.024878252193559,17.6897049500903,4.20591309350184,0.0176,0.73505
"1","PC22",-0.00372612954577604,17.0443099285424,4.12847549690469,0.01696,0.75201
"1","PC23",0.0180854638697648,16.6830724025212,4.08449169451,0.0166,0.76861
"1","PC24",-0.014974170750741,16.2547228709866,4.03171463164081,0.01617,0.78478
"1","PC25",-0.0105165264542495,15.9186561041587,3.9898190565687,0.01584,0.80062
"1","PC26",0.0136098973506354,15.5638767152045,3.94510794721824,0.01549,0.81611
"1","PC27",-0.0111349448674683,15.0597761022799,3.88069273484515,0.01498,0.83109
"1","PC28",0.00656897483014086,14.36213418483,3.78974064875553,0.01429,0.84538
"1","PC29",-0.0110318908366693,13.9987678752636,3.74149273355751,0.01393,0.85931
"1","PC30",-0.0104754750652098,13.7901447633626,3.71350841703135,0.01372,0.87303
"1","PC31",0.0125136146084704,13.5087112213801,3.67541987008017,0.01344,0.88647
"1","PC32",-0.0166301964094321,12.6187130045221,3.55228278780309,0.01256,0.89903
"1","PC33",-0.0219209599232075,12.5110372069075,3.53709445829589,0.01245,0.91148
"1","PC34",-0.00804650352332907,12.4745772391278,3.53193675468968,0.01241,0.92389
"1","PC35",-0.00319540383997583,12.0297467579869,3.46839253228162,0.01197,0.93586
"1","PC36",-0.059704951898017,11.6104476804089,3.40741070028386,0.01155,0.94741
"1","PC37",0.0170103813482534,11.5722484707824,3.4018007688256,0.01151,0.95893
"1","PC38",-0.011743629553897,11.0489419487025,3.32399487795972,0.01099,0.96992
"1","PC39",0.0168699247974793,10.3911796460138,3.22353527140836,0.01034,0.98026
"1","PC40",0.0164047100281661,10.0816484102434,3.17516116287716,0.01003,0.99029
"1","PC41",0.00287944591794261,9.75413613686725,3.12316124093317,0.00971,1
"1","PC42",0.147049495425709,1.40975383501511e-28,1.18733055002182e-14,0,1
"2","PC1",0.00356162718649353,105.926465741035,10.2920583821233,0.1054,0.1054
"2","PC2",-0.00121613877152493,81.2011599233482,9.01116862140246,0.0808,0.1862
"2","PC3",-0.0342382883267481,59.9773408492477,7.74450391240444,0.05968,0.24588
"2","PC4",-0.00424783962780844,57.2394848803913,7.5656780846393,0.05695,0.30283
"2","PC5",0.0499571540460276,40.2423928131009,6.34368921157877,0.04004,0.34287
"2","PC6",0.0145199219757357,39.1453105998345,6.25662134061464,0.03895,0.38182
"2","PC7",-0.0573127498189875,37.789765308337,6.14733806686577,0.0376,0.41942
"2","PC8",-0.0215031528160726,30.993212880743,5.5671548281634,0.03084,0.45026
"2","PC9",0.0354225435542546,29.8541432501971,5.46389451309202,0.02971,0.47997
"2","PC10",0.012469981050105,27.946979356227,5.28649026824291,0.02781,0.50778
"2","PC11",0.0302463950629071,25.6108889817828,5.06072020386257,0.02548,0.53326
"2","PC12",-0.0529518364245984,23.217081929178,4.8184107264925,0.0231,0.55636
"2","PC13",-0.0140872914440054,22.4719899675895,4.74046305413189,0.02236,0.57872
"2","PC14",-0.0413832520798523,21.6915170744057,4.65741527828534,0.02158,0.60031
"2","PC15",0.0439033351154353,21.27382180937,4.6123553429208,0.02117,0.62147
